Time (s),Mass A X (m),Mass A Y (m),Mass B X (m),Mass B Y (m)
4.967163,-0.01622257,-0.001237275,0.01689735,-0.001861558
5.0005,-0.01708718,-0.001368997,0.0180961,-0.001863329
5.033836,-0.02031437,-0.001458316,0.02137112,-0.001939725
5.067173,-0.02424843,-0.0009904893,0.02496823,-0.001517336
5.100509,-0.02746741,-0.000315209,0.02753913,-0.000845681
5.133846,-0.02891075,0.0001073245,0.02836354,-0.0007276423
5.167183,-0.0280471,-0.000116199,0.0269275,-0.001088072
5.200519,-0.02527644,-0.0008269314,0.02385452,-0.001643492
5.233856,-0.02149753,-0.001341833,0.02005341,-0.002036856
5.267193,-0.01811068,-0.001350442,0.01696934,-0.001919403
5.300529,-0.01686998,-0.001297184,0.01617768,-0.00181853
5.333866,-0.01829547,-0.001364601,0.01824363,-0.002019352
5.367203,-0.02155052,-0.00129734,0.02200902,-0.001829902
5.433876,-0.02753233,-0.0002933377,0.02833365,-0.0007119955
5.467213,-0.02814267,-7.113898e-05,0.02871116,-0.0004993308
5.500549,-0.02672436,-0.0004709034,0.02693417,-0.001059118
5.533886,-0.02366218,-0.001034852,0.02341273,-0.001707592
5.567223,-0.02015215,-0.001316951,0.01941921,-0.001904645
5.600559,-0.0176194,-0.001295567,0.0164392,-0.001878162
5.633896,-0.01740152,-0.001295332,0.01611513,-0.00184666
5.667233,-0.01964117,-0.001313571,0.01851519,-0.001899493
5.700569,-0.02314116,-0.001092829,0.02234386,-0.001826916
5.733906,-0.02630842,-0.0005274887,0.02600672,-0.001251339
5.767243,-0.0280914,-7.173337e-05,0.02826981,-0.0006422359
5.800579,-0.02784028,-0.0001907084,0.02846404,-0.0006385133
5.833916,-0.02555001,-0.0007354872,0.02645582,-0.001115455
5.867253,-0.02208593,-0.001240193,0.02300179,-0.00173247
5.900589,-0.01862115,-0.00141436,0.01918508,-0.002002873
5.933926,-0.01672687,-0.001326021,0.01673868,-0.001866467
5.967263,-0.01747995,-0.001369038,0.01688053,-0.001916931
6.000599,-0.02055337,-0.001418752,0.01948361,-0.001994207
6.033936,-0.02437038,-0.0009915686,0.02305223,-0.001716005
6.067273,-0.02750125,-0.0003117416,0.02618588,-0.001243061
6.100609,-0.02887303,6.337426e-05,0.02784998,-0.0008630305
6.133946,-0.02790392,-0.0001996641,0.02749986,-0.0009000444
6.167283,-0.02507467,-0.0008714497,0.02534188,-0.001432853
6.200619,-0.02117549,-0.001378689,0.02199148,-0.001881616
6.233956,-0.01765735,-0.001415465,0.01871286,-0.001985357
6.267293,-0.01616108,-0.001316479,0.0171631,-0.001969398
6.300629,-0.01744873,-0.001415421,0.01812999,-0.001995924
6.333966,-0.02093758,-0.001384423,0.0209708,-0.001982825
6.367303,-0.02491436,-0.0009466751,0.02433604,-0.00164627
6.400639,-0.02792178,-0.0002368532,0.02674757,-0.001099077
6.433976,-0.02905438,0.0001010394,0.02760527,-0.0009079715
6.467313,-0.0278806,-0.0002662405,0.02653461,-0.001179414
6.500649,-0.02473737,-0.0009855216,0.02378121,-0.001650076
6.533986,-0.02074752,-0.001418948,0.02044238,-0.002006292
6.567323,-0.01744861,-0.001443293,0.01775144,-0.001992871
